latfield,lonfield,title,icao,iata,runways,chart,approach,tower,radar,ground,atis,other,,
57.2019,-2.1978,Aberdeen Dyce ,EGPD,ABZ,"05, 23, 14, 32, 16, 34",airports/EGPD.pdf,119.055,"121.705, 118.105","119.055, 128.305",121.705,"121.855, 114.300",None,,
49.7061,-2.2147,Alderney ,EGJA,ACI,"03, 21, 08, 26, 14, 32",airports/EGJA.pdf,128.655,125.355,"120.450, 125.205",130.505,None,None,,
51.895,0.4492,Andrewsfield ,EGSL,None,"09L, 27R, 09R, 27L",airports/EGSL.pdf,None,None,None,None,None,130.555,,
57.0228,-7.4431,Barra ,EGPR,BRR,"07, 25, 11, 29, 15, 33",airports/EGPR.pdf,None,None,None,None,118.080,None,,
54.1286,-3.2675,Barrow/Walney Island ,EGNL,BWF,"05, 23, 17, 35",airports/EGNL.pdf,None,None,None,None,123.205,None,,
52.4353,1.6183,Beccles ,EGSM,None,"09, 27",airports/EGSM.pdf,None,None,None,None,None,120.375,,
52.2325,-0.4456,Bedford Aerodrome,EGBF,None,"08, 26",airports/EGBF.pdf,None,None,None,None,None,119.030,,
54.6575,-6.2158,Belfast International ,EGAA,BFS,"07, 25, 17, 35",airports/EGAA.pdf,133.125,118.300,120.905,121.755,126.130,None,,
54.6181,-5.8725,Belfast City ,EGAC,BHD,"04, 22",airports/EGAC.pdf,130.850,122.830,134.800,None,124.580,None,,
57.4811,-7.3628,Benbecula ,EGPL,BEB,"06, 24, 17, 35",airports/EGPL.pdf,119.205,119.205,None,None,113.950,None,,
51.3308,0.0325,Biggin Hill ,EGKB,BQH,"03, 21",airports/EGKB.pdf,129.405,134.805,None,None,135.680,None,,
52.4539,-1.748,Birmingham International ,EGBB,BHX,"15, 33",airports/EGBB.pdf,"123.980, 131.005",118.305,"123.980, 131.330",121.805,136.030,None,,
51.3239,-0.8475,Blackbushe ,EGLK,BBS,"07, 25",airports/EGLK.pdf,None,None,None,122.305,122.305,None,,
53.7717,-3.0286,Blackpool International ,EGNH,BLK,"10, 28, 13, 31",airports/EGHH.pdf,119.955,118.405,None,None,127.205,None,,
50.78,-1.8425,Bournemouth ,EGHH,BOH,"08, 26",airports/EGNH.pdf,119.480,125.605,"118.655, 119.480",118.655,133.730,125.605,,
51.3827,-2.7191,Bristol ,EGGD,BRS,"09, 27",airports/EGGD.pdf,125.650,"121.930, 133.850",136.080,None,126.030,None,,
53.1018,-4.3376,Caernarfon ,EGCK,None,"07, 25",airports/EGCK.pdf,None,None,None,None,None,122.255,,
52.205,0.175,Cambridge ,EGSC,CBG,"05, 23, 05G, 23G",airports/EGSC.pdf,120.965,125.905,124.908,None,134.605,None,,
55.4372,-5.6864,Campbeltown ,EGEC,CAL,"11, 29",airports/EGFF.pdf,None,None,None,None,125.905,None,,
51.3967,-3.3433,Cardiff International ,EGFF,CWL,"12, 30",airports/EGEC.pdf,"119.155, 125.855",133.105,125.855,None,132.480,None,,
54.9375,-2.8092,Carlisle ,EGNC,CAX,"01, 19, 06, 24",airports/EGNC.pdf,None,123.605,None,None,None,121.600,,
51.6761,-1.0808,Chalgrove ,EGLJ,None,"12, 30",airports/EGLJ.pdf,None,None,None,None,None,125.410,,
50.8594,-0.7592,Chichester/Goodwood ,EGHR,QUG,"06, 24, 10, 28, 14, 32",airports/EGHR.pdf,None,None,None,None,122.455,None,,
56.6019,-6.6178,Coll ,EGEL,COL,"02, 20",airports/EGEL.pdf,None,None,None,None,None,125.005,,
56.0575,-6.2431,Colonsay Airstrip,EGEY,CSA,"10, 28",airports/EGEY.pdf,None,None,None,None,None,123.805,,
50.9672,-2.1536,Compton Abbas Aerodrome,EGHA,None,"08, 26",airports/EGHA.pdf,None,None,None,None,None,122.710,,
52.3697,-1.4797,Coventry ,EGBE,CVT,"05, 23",airports/EGBE.pdf,123.830,None,None,None,123.830,None,,
52.0722,-0.6167,Cranfield ,EGTC,None,"03, 21",airports/EGTC.pdf,122.855,"122.855, 134.930",None,None,121.880,None,,
55.9747,-3.9756,Cumbernauld ,EGPG,None,"07, 25",airports/EGPG.pdf,None,None,None,None,None,120.605,,
51.5883,-0.5131,Denham Aerodrome,EGLD,None,"06, 24, 12, 30",airports/EGLD.pdf,None,None,None,None,None,130.730,,
52.8597,-1.6175,Derby Airfield,EGBD,None,"05, 23, 10, 28, 17, 35",airports/EGBD.pdf,None,None,None,None,None,118.355,,
53.4805,-1.0107,Doncaster Sheffield ,EGCN,DSA,"02, 20",airports/EGCN.pdf,126.225,128.775,"126.225, 129.055, 275.275",None,134.955,None,,
56.4525,-3.0258,Dundee ,EGPN,DND,"09, 27",airports/EGPN.pdf,122.905,122.905,None,None,119.330,None,,
50.86,-3.2347,Dunkeswell ,EGTU,None,"04, 22",airports/EGTU.pdf,None,None,None,None,None,123.480,,
52.0908,0.1319,Duxford Aerodrome,EGSU,QFO,"06R, 24R, 06LG, 24RG",airports/EGSU.pdf,None,122.080,None,None,122.080,None,,
51.9144,0.6825,Earls Colne Airfield,EGSR,None,"06, 24",airports/EGSR.pdf,None,None,None,None,None,122.430,,
52.8311,-1.3281,East Midlands ,EGNX,EMA,"09, 27",airports/EGNX.pdf,134.180,124.005,"126.180, 120.130",121.905,122.680,None,,
59.1906,-2.7722,Eday ,EGED,EOI,"07, 25",airports/EGED.pdf,None,None,None,None,None,None,,
55.9501,-3.37229,Edinburgh ,EGPH,EDI,"06, 24",airports/EGPH.pdf,121.205,118.705,"121.205, 128.980",121.755,131.355,121.980,,
51.6558,-0.3258,Elstree Airfield,EGTR,None,"08, 26",airports/EGTR.pdf,None,122.405,None,None,122.405,None,,
54.3989,-7.6517,Enniskillen/St Angelo ,EGAB,ENK,"14, 32",airports/EGAB.pdf,None,None,None,None,None,123.205,,
50.7344,-3.4139,Exeter International ,EGTE,EXT,"08, 26",airports/EGTE.pdf,128.980,119.805,"123.580, 128.980",None,119.330,None,,
59.5358,-1.6281,Fair Isle ,EGEF,FIE,"06, 24",airports/EGEF.pdf,None,None,None,None,None,118.030,,
51.3481,-0.5589,Fairoaks ,EGTF,None,"06, 24",airports/EGTF.pdf,None,None,None,None,123.430,123.430,,
51.2758,-0.7763,Farnborough ,EGLF,FAB,"06, 24",airports/EGLF.pdf,130.055,122.780,"125.250, 133.440, 134.355",121.815,128.405,None,,
52.7392,-0.0297,Fenland Airfield,EGCL,None,"18, 36",airports/EGCL.pdf,None,None,None,None,None,122.930,,
55.8719,-4.4331,Glasgow International ,EGPF,GLA,"05, 23",airports/EGPF.pdf,119.100,118.805,"119.100, 125.250, 128.755",121.705,129.575,None,,
51.89419937,-2.167220116,Gloucestershire Airport,EGBJ,None,"04, 22, 04G, 22G, 09, 27",airports/EGBJ.pdf,128.555,122.905,"120.980, 128.555",None,127.480,None,,
49.435,-2.602,Guernsey ,EGJB,GCI,"09, 27",airports/EGJB.pdf,128.655,119.955,"118.900, 124.505",121.805,109.400,"Jersey Control: 120.450, CTR/Airway: 125.205",,
51.8331,-4.9611,Haverfordwest ,EGFE,HAW,"03, 21, 09, 27",airports/EGFE.pdf,None,None,None,None,None,123.605,,
53.1781,-2.9778,Hawarden ,EGNR,CEG,"04, 22",airports/EGNR.pdf,None,124.955,"120.055, 130.015",None,125.430,121.605,,
53.5744,-0.3508,Humberside ,EGNJ,HUY,"02, 20, 08, 26",airports/EGNJ.pdf,119.130,"119.130, 124.905","119.130, 129.255",None,124.130,None,,
57.5425,-4.0475,Inverness ,EGPE,INV,"05, 23, 11, 29",airports/EGPE.pdf,122.605,"118.405, 122.605",122.605,None,109.200,None,,
55.6819,-6.2567,Islay ,EGPI,ILY,"08, 26, 13, 31",airports/EGPI.pdf,None,None,None,None,123.155,None,,
54.0833,-4.6239,Isle of Man ,EGNS,IOM,"03, 21, 08, 26",airports/EGNS.pdf,135.905,119.005,"120.855, 125.305, 135.905",None,123.880,None,,
49.2079,-2.1955,Jersey ,EGJJ,JER,"08, 26",airports/EGJJ.pdf,"118.555, 120.305",119.455,None,121.905,134.680,"Jersey Control: 120.450, CTR/Airway: 125.205",,
51.668,-2.0569,Kemble,EGPB,None,"08, 26, 08G, 26G",airports/EGPB.pdf,None,None,None,None,118.430,None,,
58.9578,-2.905,Kirkwall ,EGPA,KOI,"09, 27, 14, 32",airports/EGPA.pdf,118.305,118.305,None,None,108.600,118.305,,
50.1028,-5.6706,Land's End ,EGHC,LEQ,"02, 20, 07, 25, 11, 29, 16, 34",airports/EGHC.pdf,None,120.255,None,None,None,None,,
51.1569,0.6417,Lashenden/Headcorn Airfield,EGKH,None,"10, 28",airports/EGKH.pdf,None,None,None,None,None,122.210,,
50.8142,-1.2033,Lee-on-Solent,EGHF,None,"05, 23",airports/EGHF.pdf,None,None,None,None,None,118.930,,
53.8659,-1.6606,Leeds Bradford ,EGNM,LBA,"14, 32",airports/EGCM.pdf,134.580,120.305,135.580,121.805,118.030,125.380,,
53.8344,-1.1956,Leeds East,EGCM,None,"06, 24",airports/EGNM.pdf,None,None,None,None,None,126.505,,
52.60779953,-1.031939983,Leicester,EGBG,None,"04, 22, 06, 24, 10, 28, 15, 33, 16, 34",airports/EGBG.pdf,None,None,None,None,None,122.130,,
60.19219971,-1.243610024,Lerwick / Tingwall,EGET,None,"02, 20",airports/EGET.pdf,None,None,None,None,None,125.305,,
53.333599,-2.84972,Liverpool ,EGGP,LPL,"09, 27",airports/EGGP.pdf,119.855,126.355,"118.455, 119.855",121.955,124.330,None,,
51.505299,0.055278,London City,EGLC,LCY,"09, 27",airports/EGLC.pdf,132.700,"118.080, 129.455","125.625, 128.025, 132.700, 133.455",121.830,136.355,None,,
51.148102,-0.190278,London Gatwick,EGKK,LGW,"08L, 26R, 08R, 26L",airports/EGKK.pdf,"126.825, 118.950, 129.025","124.230, 134.230",None,"121.805, 121.955",136.525,None,,
51.4706,-0.461941,London Heathrow,EGLL,LHR,"09L, 27R, 09R, 27L",airports/EGLL.pdf,"119.730, 120.400, 127.525, 134.980","118.505, 118.705, 124.475","125.625, 127.525","121.705, 121.855, 121.905, 121.980","128.080, 113.750, 117.000, 121.935 (Dep)",None,,
51.87469864,-0.368333012,London Luton,EGGW,LTN,"07, 25",airports/EGGW.pdf,"129.550, 132.050","132.555, 126.725",128.750,"121.755, 121.885",120.580,None,,
51.88499832,0.234999999,London Stansted,EGSS,STN,"04, 22",airports/EGSS.pdf,"120.625, 132.050","123.805, 125.550",136.200,"121.730, 121.955","127.180, 114.550","121.916 (De-icing), 121.555 (RYR De-icing)",,
55.0428009,-7.161109924,Londonderry/Eglinton,EGAE,LDY,"08,26",airports/EGAE.pdf,123.625,134.155,None,None,119.380,None,,
50.9561,0.939167,Lydd,EGMD,LYX,"03,21",airports/EGMD.pdf,120.705,119.380,None,None,129.230,None,,
53.349375,-2.279521,Manchester,EGCC,MAN,"05L, 23R, 05R, 23L",airports/EGCC.pdf,"118.580, 135.005, 121.355","118.630, 119.405",None,121.705,"ARR: 128.180, 113.550, DEP: 121.980",None,,
52.47167,-2.38972,Manchester Barton,EGCB,None,"02, 20, 08L, 26R, 08R, 26L, 14, 32",airports/EGCB.pdf,None,None,None,None,None,120.255,,
53.31694,-1.19611,Netherthorpe,EGNF,None,"06, 24, 18, 36",airports/EGNF.pdf,None,None,None,None,None,123.280,,
55.037498,-1.69167,Newcastle,EGNT,NCL,"07, 25",airports/EGNT.pdf,124.380,119.705,"124.380, 125.830",121.730,118.380,None,,
50.4408,-4.9953,Newquay,EGHQ,NQY,"12, 30",airports/EGHQ.pdf,133.405,134.380,127.930,121.955,127.405,None,,
54.58111,-5.24194,Newtownards,EGAD,None,"03, 21, 08, 26, 15, 33",airports/EGAD.pdf,None,None,None,None,None,128.305,,
59.3675,-2.43444,North Ronaldsay,EGEN,None,"03, 21, 10, 28, 13, 31",airports/EGEN.pdf,None,None,None,None,None,None,,
51.3061,-0.79222,Northampton/Sywell,EGBK,None,"03L, 21R, 03R, 21L, 05, 23, 14, 32",airports/EGBK.pdf,None,None,None,None,None,122.705,,
52.6758,1.28278,Norwich International,EGSH,NWI,"09, 27",airports/EGSH.pdf,119.355,124.255,"119.355, 128.330",None,128.630,None,,
52.919998,-1.07917,Nottingham,EGBN,NQT,"03, 21, 09, 27",airports/EGBN.pdf,None,None,None,None,None,134.880,,
56.46278,-5.400278,Oban,EGEO,None,"01, 15",airports/EGEO.pdf,None,None,None,None,None,118.055,,
52.4975,1.05194,Old Buckenham,EGSV,None,"02, 20, 07, 25, 07LG, 25RG",airports/EGSV.pdf,None,None,None,None,None,124.405,,
52.08667,-0.318611,Old Warden,EGTH,None,"02, 20, 02X, 20X",airports/EGTH.pdf,None,None,None,None,130.705,130.705,,
51.8368988,-1.320000052,Oxford,EGTK,OXF,"01, 19",airports/EGTK.pdf,125.090,133.430,"125.090, 119.980",121.955,136.230,None,,
59.35111,-2.900278,Papa Westray,EGEP,None,"03, 21, 06, 24, 17, 35",airports/EGEP.pdf,None,None,None,None,None,None,,
56.44111,-3.37389,Perth/Scone,EGPT,None,"03, 21, 09, 27, 15, 33",airports/EGPT.pdf,None,None,None,None,None,121.080,,
52.45681,0.25083,Peterborough/Conington,EGSF,None,"10, 28",airports/EGSF.pdf,None,None,None,None,None,129.725,,
55.5094,-4.5944,Prestwick,EGPK,None,"03, 21, 12, 20",airports/EGPK.pdf,129.450,"118.150, 127.155","124.630, 129.450",None,121.130,None,,
51.21361,-0.13861,Redhill,EGKR,None,"08L, 26R, 08R, 26L, 18, 36",airports/EGKR.pdf,None,119.605,None,None,125.305,None,,
53.28056,-0.951389,Retford/Gamston,EGNE,None,"03, 21",airports/EGNE.pdf,None,None,None,None,None,130.480,,
51.35194,0.50278,Rochester,EGTO,None,"02L, 20R, 02R, 20L",airports/EGTO.pdf,None,None,None,None,122.255,None,,
59.25027,-2.575,Sanday,EGES,None,"02, 20, 10, 28, 16, 34",airports/EGES.pdf,None,None,None,None,None,None,,
53.55972,-0.8583,Sandtoft,EGCF,None,"05, 23",airports/EGCF.pdf,None,None,None,None,None,130.415,,
49.9133,-6.29167,Scilly Isles/St. Mary'S,EGHE,IOS,"09, 27, 14, 32",airports/EGHE.pdf,124.880,124.880,None,None,None,124.880,,
53.78417,-1.50111,Sherburn-In-Elemt,EGCJ,None,"01, 19, 06, 24, 10, 28, 10G, 28G",airports/EGCJ.pdf,None,None,None,None,None,122.610,,
52.24167,-2.88111,Shobdon,EGBS,None,"08, 26",airports/EGBS.pdf,None,None,None,None,118.155,118.155,,
50.835602,-0.297222,Shoreham,EGKA,ESH,"02, 20, 02G, 20G, 06, 24, 13, 31",airports/EGKA.pdf,123.155,"123.155, 125.405",None,None,130.980,None,,
52.83389,-2.77167,Sleap,EGCV,None,"05, 23, 18, 36",airports/EGCV.pdf,None,None,None,None,None,122.455,,
50.950298,-1.3568,Southampton,EGHI,SOU,"02, 20",airports/EGHI.pdf,120.230,118.205,122.730,None,130.880,None,,
51.5714,0.695556,Southend,EGMC,SEN,"05, 23",airports/EGMC.pdf,130.780,127.730,"130.780, 128.965",None,136.055,None,,
51.4048,-3.43575,St. Athan,EGSY,None,"07, 25",airports/EGSY.pdf,"119.155, 125.855","122.865, 241.125",125.855,None,130.560,None,,
51.6525,0.15611,Stapleford,EGSG,None,"03L, 21R, 03R, 21L",airports/EGSG.pdf,None,None,None,None,None,122.805,,
58.21556,-6.33111,Stornoway,EGPO,None,"06, 24, 18, 36",airports/EGPO.pdf,119.480,119.480,None,None,115.100,None,,
59.155278,-2.64139,Stronsay,EGER,None,"02, 20, 10, 28",airports/EGER.pdf,None,None,None,None,None,None,,
59.88139,-1.29389,Sumburgh,EGPB,None,"06, 24, 09, 27, 15, 33",airports/EGPB.pdf,None,118.255,"131.300, 123.155",None,125.855,118.255,,
51.6053009,-4.067830086,Swansea,EGFH,SWS,"04, 22, 10, 28",airports/EGFH.pdf,None,None,None,None,None,119.705,,
54.509201,-1.42941,Teeside International,EGNV,MME,"05, 23",airports/EGNV.pdf,118.855,"119.805, 118.855, 128.855",,None,132.380,None,,
52.81417,-1.76472,Tatenhill,EGBM,None,"04, 22, 08, 26",airports/EGBM.pdf,None,None,None,None,None,124.080,,
51.21056,-1.60028,Thruxton,EGHO,None,"07, 25, 12, 30",airports/EGHO.pdf,None,None,None,None,None,118.280,,
56.49919891,-6.869170189,Tiree,EGPU,TRE,"05, 23, 11, 29",airports/EGPU.pdf,None,None,None,None,None,112.705,,
53.745098,-2.88306,Warton,EGNO,WRT,"07, 25",airports/EGNOCIV.pdf,None,130.805,129.530,None,121.730,129.730,,
52.19222,-1.61444,Wellesbourne Mountford,EGBW,None,"05, 23, 18, 36",airports/EGBW.pdf,None,None,None,None,None,124.030,,
52.62861,-3.15333,Welshpool,EGCW,None,"04, 22",airports/EGCW.pdf,None,None,None,None,None,128.005,,
52.11472,-4.55944,West Wales/Aberporth,EGFA,None,"07, 25",airports/EGFA.pdf,None,None,None,None,None,122.115,,
59.350278,-2.94996,Westray,EGEW,None,"09, 27, 13, 31",airports/EGEW.pdf,None,None,None,None,None,None,,
51.5005,-0.77472,White Waltham,EGLM,None,"03, 21, 07L, 25R, 07R, 25L, 11, 29",airports/EGLM.pdf,None,None,None,None,None,122.605,,
58.45890045,-3.093060017,Wick,EGPC,WIC,"13, 31",airports/EGPC.pdf,119.705,119.705,None,None,113.600,None,,
53.3169,-0.34889,Wickenby,EGNW,None,"03, 21, 15, 33",airports/EGNW.pdf,None,None,None,None,None,122.455,,
52.51778,-2.25972,Wolverhampton/Halfpenny Green,EGBO,None,"04, 22, 16, 34",airports/EGBO.pdf,None,None,None,None,None,123.005,,
51.61167,-0.80833,Wycombe Air Park/Booker,EGTB,None,"06, 24, 06G, 24G, 35",airports/EGTB.pdf,None,None,None,None,None,126.555,,
50.94,-2.65889,Yeovil/Westland,EGHG,None,"09, 27",airports/EGHG.pdf,130.805,125.405,None,None,None,None,,
